Artist Name,Album Name,Review Score,Best New Music,Genre,Date Published,Written By,Review link
Andy Shauf,The Neon Skyline,7.9,,Rock,2020-01-30,Sam Sodomsky,http://pitchfork.com/reviews/albums/andy-shauf-the-neon-skyline/
Pet Shop Boys,Hotspot,6.1,,Electronic,2020-01-30,Alfred Soto,http://pitchfork.com/reviews/albums/pet-shop-boys-hotspot/
glass beach,the first glass beach album,7.2,,Rock,2020-01-30,Abby Jones,http://pitchfork.com/reviews/albums/glass-beach-the-first-glass-beach-album/
Desire Marea,Desire,8.0,,Experimental,2020-01-30,Ruth Saxelby,http://pitchfork.com/reviews/albums/desire-marea-desire/
J Hus,Big Conspiracy,8.0,,Rap,2020-01-29,Sheldon Pearce,http://pitchfork.com/reviews/albums/j-hus-big-conspiracy/
Bonny Light Horseman,Bonny Light Horseman,7.8,,Rock / Folk/Country,2020-01-29,Grayson Haver Currin,http://pitchfork.com/reviews/albums/bonny-light-horseman-bonny-light-horseman/
Chubby & the Gang,Speed Kills,8.0,,Not found,2020-01-29,Matthew Ismael Ruiz,http://pitchfork.com/reviews/albums/chubby-and-the-gang-speed-kills/
Jennifer Curtis / Tyshawn Sorey,Invisible Ritual,7.4,,Experimental / Jazz,2020-01-29,Seth Colter Walls,http://pitchfork.com/reviews/albums/jennifer-curtis-tyshawn-sorey-invisible-ritual/
Okay Kaya,Watch This Liquid Pour Itself,6.8,,Pop/R&B,2020-01-28,Eric Torres,http://pitchfork.com/reviews/albums/okay-kaya-watch-this-liquid-pour-itself/
Terry Allen & the Panhandle Mystery Band,Just Like Moby Dick,7.6,,Folk/Country,2020-01-28,Abigail Covington,http://pitchfork.com/reviews/albums/terry-allen-and-the-panhandle-mystery-ba-just-like-moby-dick/
Big Baby Scumbag,Big Baby Earnhardt,7.1,,Rap,2020-01-28,Nathan Smith,http://pitchfork.com/reviews/albums/big-baby-scumbag-big-baby-earnhardt/
Sada Baby,Brolik,7.7,,Rap,2020-01-28,Sheldon Pearce,http://pitchfork.com/reviews/albums/sada-baby-brolik/
Wolf Parade,Thin Mind,6.5,,Rock,2020-01-27,Evan Rytlewski,http://pitchfork.com/reviews/albums/wolf-parade-thin-mind/
Andras,Joyful,7.4,,Experimental / Electronic,2020-01-27,Philip Sherburne,http://pitchfork.com/reviews/albums/andras-joyful/
Robert Haigh,Black Sarabande,7.6,,Experimental,2020-01-27,Andy Beta,http://pitchfork.com/reviews/albums/robert-haigh-black-sarabande/
Nicolas Godin,Concrete and Glass,6.7,,Electronic,2020-01-27,Ben Cardew,http://pitchfork.com/reviews/albums/nicolas-godin-concrete-and-glass/
Dixie Chicks,Home,8.1,,Folk/Country,2020-01-26,Sam Sodomsky,http://pitchfork.com/reviews/albums/dixie-chicks-home/
Eminem,Music to Be Murdered By,5.5,,Rap,2020-01-25,Paul A. Thompson,http://pitchfork.com/reviews/albums/eminem-music-to-be-murdered-by/
String Machine,Death of the Neon,7.1,,Folk/Country,2020-01-25,Ian Cohen,http://pitchfork.com/reviews/albums/string-machine-death-of-the-neon/
