Artist Name,Album Name,Review Score,Genre,Date Published,Written By
Popcaan,Vanquish,6.7,GlobalPop/R&B,2020-01-13,Sheldon Pearce
Dopolarians,Garden Party,7.2,Jazz,2020-01-13,Daniel Felsenthal
AceMo,Existential,7.3,Electronic,2020-01-13,Colin Joyce
Música Esporádica,Música Esporádica,8.0,Electronic,2020-01-13,Andy Beta
Blink-182,Enema of the State,7.5,Rock,2020-01-12,Jeremy Gordon
Trent ReznorAtticus Ross,Watchmen (Music from the HBO Series),7.6,RockExperimental,2020-01-11,Sean T. Collins
Amy Klein,Winter/Time,5.9,Not found,2020-01-11,Linnie Greene
Water From Your Eyes,Somebody Else’s Song,7.6,Rock,2020-01-11,Quinn Moreland
Georgia,Seeking Thrills,6.8,Pop/R&B,2020-01-10,Anna Gaca
RAMZi,Multiquest Niveau 1: Camouflé,7.4,Electronic,2020-01-10,Philip Sherburne
SUSS,High Line,7.1,Experimental,2020-01-10,Allison Hussey
Badge Époque Ensemble,"Nature, Man & Woman EP",7.5,Jazz,2020-01-10,Stuart Berman
Beach Slang,The Deadbeat Bang of Heartbreak City,5.2,Rock,2020-01-09,Ian Cohen
The Big Moon,Walking Like We Do,6.8,Rock,2020-01-09,Aimee Cliff
Lee “Scratch” Perry,Heavy Rain,7.4,Global,2020-01-09,Ben Cardew
Omni,Networker,6.5,Rock,2020-01-09,Abby Jones
Kanye WestSunday Service Choir,Jesus Is Born,7.4,Rap,2020-01-08,Shane Cashman
Lady Lazarus,Impossible Journey of My Soul Tonight,7.0,Pop/R&BRock,2020-01-08,Brian Howe
Aleksi Perälä,Resonance,7.7,Electronic,2020-01-08,Louis Pattison
Karin Hellqvist,Flock,6.8,Experimental,2020-01-08,Seth Colter Walls
Ariana Grande,k bye for now (swt live),7.4,Pop/R&B,2020-01-07,Dani Blum 
A Winged Victory for the Sullen,The Undivided Five,7.5,Experimental,2020-01-07,Brian Howe
Leif Vollebekk,New Ways,6.9,Pop/R&B,2020-01-07,Amanda Wicks
San Cha,La Luz de la Esperanza,8.0,Folk/Country,2020-01-07,Matthew Ismael Ruiz
Travis Scott,JACKBOYS,5.9,Rap,2020-01-06,Sheldon Pearce
Macseal,Super Enthusiast,6.3,Rock,2020-01-06,Ian Cohen
Ecco2k,E,7.4,Electronic,2020-01-06,Nathan Smith
Rrose,Hymn to Moisture,7.7,Electronic,2020-01-06,Philip Sherburne
Peter Gabriel,So,9.1,Rock,2020-01-05,Eric Harvey
Emily Yacina,Remember the Silver,6.0,Rock,2020-01-04,Cat Zhang
Roland Tings,Salt Water,7.3,Electronic,2020-01-04,Nathan Smith
juneunit,juneunit,8.2,Electronic,2020-01-04,Philip Sherburne
Grace Cummings,Refuge Cove,7.4,Folk/Country,2020-01-03,Sam Sodomsky
Saariselka,The Ground Our Sky,7.7,Experimental,2020-01-03,Allison Hussey
Dai Burger,Bite the Burger,6.7,Rap,2020-01-03,Reed Jackson
Eddy Current Suppression Ring,All in Good Time,6.3,ElectronicRock,2020-01-02,Evan Minsker
Short Fictions,Fates Worse Than Death,7.6,Rock,2020-01-02,Ian Cohen
Ozuna,Nibiru,6.8,Global,2019-12-31,Matthew Ismael Ruiz
Forest Management,After Dark,7.7,Experimental,2019-12-30,Marc Masters
American Football,Year One Demos,7.6,Rock,2019-12-28,Nina Corcoran
Robert Ashley,Automatic Writing ,8.5,Experimental,2019-12-27,Ruth Saxelby
Duster,Duster,7.4,Rock,2019-12-26,Colin Joyce
Fever Ray,Plunge Remix,7.8,Electronic,2019-12-24,Ruth Saxelby
The Free Nationals,Free Nationals,6.4,Pop/R&B,2019-12-23,Sheldon Pearce
Carole King,Tapestry,10.0,Rock,2019-12-22,Jenn Pelly
St. VincentNina Kraviz,Nina Kraviz Presents Masseduction Rewired,6.7,RockElectronic,2019-12-21,Ben Cardew
Dirty Projectors,Sing the Melody,7.1,Rock,2019-12-20,Jamieson Cox
Joy Orbison,Slipping EP,7.9,Electronic,2019-12-20,Andy Beta
French Montana,MONTANA,5.8,Rap,2019-12-19,Pete Tosiello
Deathprod,OCCULTING DISK,8.0,ElectronicJazzRock,2019-12-19,Grayson Haver Currin
Stormzy,Heavy Is the Head,7.0,Rap,2019-12-18,Will Pritchard
Stenny,Upsurge,7.4,Electronic,2019-12-18,Shawn Reynaldo
Kaytranada,Bubba,8.1,Pop/R&B,2019-12-17,Jonah Bromwich
Knxwledge,WT_PRT15.,6.9,Rap,2019-12-17,Reed Jackson
Daniel Lopatin,Uncut Gems (Original Motion Picture Soundtrack),7.4,Experimental,2019-12-16,Mina Tavakoli
Liam Payne,LP1,4.3,Pop/R&B,2019-12-16,Rawiya Kameir
Dr. Dre,The Chronic,10.0,Rap,2019-12-15,Sheldon Pearce
Camila Cabello,Romance,6.1,Pop/R&B,2019-12-14,Stefanie Fernández
XXXTentacion,Bad Vibes Forever,3.5,Rap,2019-12-14,Stephen Kearse
Harry Styles,Fine Line,6.0,Pop/R&B,2019-12-13,Jeremy D. Larson
Sean McCann,Puck,7.7,Experimental,2019-12-13,Joshua Minsoo Kim
Hurt Valley,Glacial Pace,6.4,Folk/Country,2019-12-13,Allison Hussey
Jme,Grime MC,8.0,Rap,2019-12-13,Matthew Ismael Ruiz
Roddy Ricch,Please Excuse Me For Being Antisocial,6.9,Rap,2019-12-12,Alphonse Pierre
Shed,Oderbruch,7.5,Electronic,2019-12-12,Shawn Reynaldo
Junius Paul,Ism,8.0,Jazz,2019-12-12,Andy Beta
Sofie Birch,Island Alchemy,7.5,Experimental,2019-12-12,Colin Joyce
Mary J. Blige,HERstory Vol. 1,8.3,Pop/R&B,2019-12-11,Rawiya Kameir
Akasha System,Echo Earth,8.0,Electronic,2019-12-11,Philip Sherburne
Georgia Maq,Pleaser,6.1,Rock,2019-12-11,Sasha Geffen
Kelsey Lu,Blood Transfusion EP,6.9,Experimental,2019-12-11,Vrinda Jagota
Courtney Barnett,MTV Unplugged Live in Melbourne,7.3,Rock,2019-12-10,Peyton Thomas
YNW Melly,Melly vs. Melvin,4.8,Rap,2019-12-10,Evan Rytlewski
Andrés,Andrés IV,7.6,Electronic,2019-12-10,Andy Beta
Jeff RosenstockLaura Stevenson,Still Young EP,7.5,Rock,2019-12-10,Madison Bloom
Beat Happening,We Are Beat Happening,8.5,Rock,2019-12-09,Quinn Moreland
Jim O’Rourke,To Magnetize Money and Catch a Roving Eye,8.1,Experimental,2019-12-09,Philip Sherburne
Julien Chang,Jules,7.4,Rock,2019-12-09,Zach Schonfeld
Various Artists,Until the End of the World (Original Motion Picture Soundtrack),8.3,Not found,2019-12-09,Stephen M. Deusner
My Chemical Romance,Three Cheers for Sweet Revenge,8.2,Rock,2019-12-08,Arielle Gordon
Roc Marciano,Marcielago,7.5,Rap,2019-12-07,Pete Tosiello
Ben Frost,Catastrophic Deliquescence (Music From Fortitude 2015-2018),6.0,ElectronicExperimental,2019-12-07,Ruth Saxelby
Karenn,Grapefruit Regret,7.4,Electronic,2019-12-07,Shawn Reynaldo
Burial,Tunes 2011 to 2019,9.0,ElectronicExperimental,2019-12-06,Gabriel Szatan
Doon Kanda,Labyrinth,6.5,Electronic,2019-12-06,Colin Lodewick
Croatian AmorVarg2TM,Body of Carbon,7.4,Electronic,2019-12-06,Colin Joyce
Various Artists,20 Years of Fabric,6.2,Not found,2019-12-06,Ben Cardew
NoCap,The Hood Dictionary,6.5,Rap,2019-12-05,Ben Dandridge-Lemco
Tindersticks,No Treasure But Hope,7.8,Rock,2019-12-05,Stephen M. Deusner
03 GreedoKenny Beats,Netflix & Deal,7.5,Rap,2019-12-05,Sheldon Pearce
Caroline Says,Ohio River EP,7.0,Folk/Country,2019-12-05,Abby Jones
Tinashe,Songs for You,7.7,Pop/R&B,2019-12-04,Eric Torres
Griselda,WWCD,7.7,Rap,2019-12-04,Evan Rytlewski
Various Artists,HyperSwim,7.8,Not found,2019-12-04,Ben Cardew
Anne Müller,Heliopause,6.9,Experimental,2019-12-04,Andy Beta
Beck,Hyperspace,6.5,Rock,2019-12-03,Sam Sodomsky
William Patrick Corgan,Cotillions,6.4,Rock,2019-12-03,Stuart Berman
Galcher Lustwerk,Information,7.9,Electronic,2019-12-03,Nathan Taylor Pemberton
Origami Angel,Somewhere City,7.0,Rock,2019-12-03,Ian Cohen
Prince,1999,10.0,Pop/R&BRock,2019-12-02,Paul A. Thompson
Hannah Diamond,Reflections,6.2,Pop/R&B,2019-12-02,Katherine St. Asaph
Gavilán Rayna Russom,The Envoy,7.8,Electronic,2019-12-02,Jesse Dorris
Ducks Unlimited,Get Bleak EP,7.0,Rock,2019-12-02,Peyton Thomas
The Rolling Stones,Tattoo You,8.1,Rock,2019-12-01,Andy Cush
Various Artists,Queen & Slim: The Soundtrack,6.5,Not found,2019-11-30,Sheldon Pearce
Mariah Carey,Merry Christmas: Deluxe Anniversary Edition,7.3,Pop/R&B,2019-11-29,Rich Juzwiak
Animal Collective,Ballet Slippers,7.4,Experimental,2019-11-28,Grayson Haver Currin
Blood Incantation,Hidden History of the Human Race,8.3,Metal,2019-11-27,Jayson Greene
Chet Baker,The Legendary Riverside Albums,8.0,JazzPop/R&B,2019-11-27,Mark Richardson
